요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
가톨릭대학교인천성모병원,1,상급종합,220000,인천,220003,인천부평구,부평동,21431,"인천광역시 부평구 동수로 56, (부평동)",032-1544-9004,,19810806,342,0,23,69,247,1,0,0,2,0,0,0,0,0,126.7248987,37.4848309
강릉아산병원,1,상급종합,320000,강원,320100,강릉시,,25440,"강원특별자치도 강릉시 사천면 방동길 38, ()",033-610-3114,,19960730,193,2,0,34,155,0,0,0,2,0,0,0,0,0,128.8578411,37.8184325
강북삼성병원,1,상급종합,110000,서울,110016,종로구,,3181,"서울특별시 종로구 새문안로 29, (평동)",02-2001-2001,,19790324,415,1,39,123,244,4,0,0,4,0,0,0,0,0,126.96775,37.5684083
건국대학교병원,1,상급종합,110000,서울,110023,광진구,,5030,"서울특별시 광진구 능동로 120-1, (화양동)",1588-1533,,19821116,414,2,37,139,233,0,0,0,3,0,0,0,0,0,127.0718276,37.5403764
경북대학교병원,1,상급종합,230000,대구,230006,대구중구,,41944,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",053-200-5114,,19100907,498,4,82,188,223,0,0,0,1,0,0,0,0,0,128.604703,35.8662525
경상국립대학교병원,1,상급종합,380000,경상도,380500,진주시,,52727,"경상남도 진주시 강남로 79, (칠암동)",055-750-8000,,19861013,334,1,35,111,185,0,0,0,2,0,0,0,0,0,128.0964924,35.1759944
경희대학교병원,1,상급종합,110000,서울,110007,동대문구,,2447,"서울특별시 동대문구 경희대로 23, (회기동)",02-958-8114,,19711005,476,2,69,162,243,0,0,0,0,0,0,0,0,0,127.051852,37.5941195
계명대학교동산병원,1,상급종합,230000,대구,230007,대구달서구,,42601,"대구광역시 달서구 달구벌대로 1035, (신당동)",1577-6622,,19680406,423,1,47,135,236,3,0,0,1,0,0,0,0,0,128.4801315,35.8538856
고려대학교의과대학부속구로병원,1,상급종합,110000,서울,110005,구로구,,8308,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114,,19830831,562,1,35,158,333,0,6,17,12,0,0,0,0,0,126.8848701,37.492052
고려대학교의과대학부속안산병원,1,상급종합,310000,경기,311101,안산단원구,,15355,"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,,19860101,401,1,29,113,253,0,0,0,5,0,0,0,0,0,126.8249033,37.3185144
단국대학교의과대학부속병원,1,상급종합,340000,충청도,340202,천안동남구,,31116,"충청남도 천안시 동남구 망향로 201,  (안서동)",041-1588-0063,,19940425,348,1,31,105,211,0,0,0,0,0,0,0,0,0,127.172575,36.8415904
대구가톨릭대학교병원,1,상급종합,230000,대구,230001,대구남구,,42472,"대구광역시 남구 두류공원로17길 33, (대명동)",053-650-3000,,19800812,322,0,23,99,191,4,0,0,5,0,0,0,0,0,128.5679969,35.8436078
동아대학교병원,1,상급종합,210000,부산,210006,부산서구,동대신동3가,49201,"부산광역시 서구 대신공원로 26, (동대신동3가)",051-240-2400,,19900303,343,1,31,105,191,2,0,6,7,0,0,0,0,0,129.0175391,35.1201682
부산대학교병원,1,상급종합,210000,부산,210006,부산서구,,49241,"부산광역시 서구 구덕로 179, (아미동1가)",240-7000,,19810827,546,1,57,182,289,1,3,3,10,0,0,0,0,0,129.0188032,35.1008477
분당서울대학교병원,1,상급종합,310000,경기,310403,성남분당구,,13620,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,,20030415,807,6,0,223,551,2,3,11,11,0,0,0,0,0,127.1232509,37.3519807
삼성서울병원,1,상급종합,110000,서울,110001,강남구,,6351,"서울특별시 강남구 일원로 81, (일원동, 삼성의료원)",02-3410-2114,,19940613,1401,19,121,404,841,0,0,2,14,0,0,0,0,0,127.0851508,37.4882977
서울대학교병원,1,상급종합,110000,서울,110016,종로구,,3080,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,,19810709,1608,15,171,570,851,0,0,0,1,0,0,0,0,0,126.9990168,37.5797151
순천향대학교부속 천안병원,1,상급종합,340000,충청도,340202,천안동남구,,31151,"충청남도 천안시 동남구 순천향6길 31,  5동 (봉명동,순천향대학교병원)",041-570-2114,,19820625,336,1,29,91,212,1,0,0,2,0,0,0,0,0,127.1358588,36.8027381
순천향대학교부속부천병원,1,상급종합,310000,경기,310300,부천시,,14584,"경기도 부천시 조마루로 170, (중동)",032-621-5114,,20010129,373,0,29,100,236,1,0,0,7,0,0,0,0,0,126.7629626,37.4986998
아주대학교병원,1,상급종합,310000,경기,310604,수원영통구,,16499,"경기도 수원시 영통구 월드컵로 164, (원천동)",031-219-5114,,19940425,674,10,58,166,411,2,4,13,10,0,0,0,0,0,127.0476837,37.2794612
양산부산대학교병원,1,상급종합,380000,경상도,381100,양산시,,50612,"경상남도 양산시 물금읍 금오로 20, ()",055-360-1000,,20081024,465,0,38,129,296,1,0,0,1,0,0,0,0,0,129.0057274,35.3281501
연세대학교 원주세브란스기독병원,1,상급종합,320000,강원,320400,원주시,,26426,"강원특별자치도 원주시 일산로 20-0,  (일산동)",033-741-0114,,19770501,408,12,42,107,226,0,4,12,5,0,0,0,0,0,127.9456639,37.3490013
연세대학교의과대학 강남세브란스병원,1,상급종합,110000,서울,110001,강남구,,6273,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,,19830404,560,1,36,127,342,0,10,29,15,0,0,0,0,0,127.0462683,37.4929296
연세대학교의과대학세브란스병원,1,상급종합,110000,서울,110010,서대문구,,3722,"서울특별시 서대문구 연세로 50-1, (신촌동)",02-2228-0114,,19740325,1477,6,147,419,904,1,0,0,0,0,0,0,0,0,126.9408265,37.5623446
영남대학교병원,1,상급종합,230000,대구,230001,대구남구,,42415,"대구광역시 남구 현충로 170, (대명동)",053-623-8001,,19830314,387,1,42,118,223,0,0,0,3,0,0,0,0,0,128.58205,35.848107
원광대학교병원,1,상급종합,350000,전라도,350300,익산시,,54538,"전라북도 익산시 무왕로 895, (신동)",063-859-1114,,19811027,297,2,31,95,166,1,0,1,1,0,0,0,0,0,126.9595793,35.9646389
의료법인 길의료재단 길병원,1,상급종합,220000,인천,220006,인천남동구,,21565,"인천광역시 남동구 남동대로774번길 21-0, 의료법인길의료재단길병원",,,19870217,529,5,84,114,311,1,4,1,9,0,0,0,0,0,126.7092258,37.452171
이화여자대학교의과대학부속목동병원,1,상급종합,110000,서울,110020,양천구,,7985,"서울특별시 양천구 안양천로 1071, (목동)",02-2650-5114,,19930730,385,0,38,121,207,0,2,11,6,0,0,0,0,0,126.8862379,37.5362859
인제대학교부산백병원,1,상급종합,210000,부산,210004,부산진구,,47392,"부산광역시 부산진구 복지로 75, 진사로83번길 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",051-890-6114,,19790601,363,1,36,111,210,1,0,0,4,0,0,0,0,0,129.0208609,35.1455173
인하대학교의과대학부속병원,1,상급종합,220000,인천,220004,인천중구,신흥동3가,22332,"인천광역시 중구 인항로 27, (신흥동3가)",032-890-2114,,19960322,424,1,39,123,257,1,0,0,3,0,0,0,0,0,126.6340955,37.4586786
재단법인아산사회복지재단 서울아산병원,1,상급종합,110000,서울,110018,송파구,,5505,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",02-3010-3114,,19890520,1720,16,131,448,1085,2,0,21,17,0,0,0,0,0,127.107935,37.5265762
전남대학교병원,1,상급종합,240000,광주,240001,광주동구,,61469,"광주광역시 동구 제봉로 42,  (학동)",062-1899-0000,,19830415,506,0,56,162,278,0,0,4,6,0,0,0,0,0,126.9215805,35.1418094
전북대학교병원,1,상급종합,350000,전라도,350402,전주덕진구,,54907,"전라북도 전주시 덕진구 건지로 20,  (금암동)",063-250-1129,,19830128,430,2,47,138,240,0,0,0,3,0,0,0,0,0,127.1411626,35.8470974
조선대학교병원,1,상급종합,240000,광주,240001,광주동구,,61453,"광주광역시 동구 필문대로 365,  (학동)",062-220-3321,,19830415,325,0,32,110,179,0,0,1,3,0,0,0,0,0,126.9261468,35.1390538
중앙대학교병원,1,상급종합,110000,서울,110008,동작구,,6973,"서울특별시 동작구 흑석로 102, (흑석동)",1800-1114,,20041201,401,0,43,134,211,6,0,0,7,0,0,0,0,0,126.9607839,37.5067481
충남대학교병원,1,상급종합,250000,대전,250005,대전중구,,0,"대전광역시 중구 문화로 282- , (대사동)",042-1599-7123,,19841105,492,2,60,158,269,0,0,0,3,0,0,0,0,0,127.415363,36.316908
충북대학교병원,1,상급종합,330000,충청도,330104,청주서원구,,28644,"충청북도 청주시 서원구 1순환로 776-0, 충북대학교병원",043-269-6114,,19910531,356,3,34,105,210,0,0,0,4,0,0,0,0,0,127.4614843,36.6242237
칠곡경북대학교병원,1,상급종합,230000,대구,230003,대구북구,,41404,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임살실습동 1~11층 포함) (학정동)",053-200-2000,,20101029,227,0,0,18,207,0,0,0,2,0,0,0,0,0,128.5646727,35.9564207
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),1,상급종합,110000,서울,110012,성북구,,2841,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",1577-0083,,19740325,568,2,38,164,339,0,4,12,9,0,0,0,0,0,127.0263537,37.5870165
학교법인 울산공업학원 울산대학교병원,1,상급종합,260000,울산,260002,울산동구,,44033,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",052-250-7000,,19870701,378,1,29,97,231,4,1,5,8,0,0,0,0,2,129.4289116,35.5200702
학교법인가톨릭학원가톨릭대학교서울성모병원,1,상급종합,110000,서울,110021,서초구,,6591,"서울특별시 서초구 반포대로 222, (반포동)",02-1588-1511,,19800502,893,3,58,232,568,0,5,15,12,0,0,0,0,0,127.0051154,37.5009444
학교법인성균관대학삼성창원병원,1,상급종합,380000,경상도,380701,창원마산회원구,,51353,"경상남도 창원시 마산회원구 팔용로 158, (합성동, 삼성창원병원)",055-233-8899,,19810311,289,2,22,65,195,3,0,0,2,0,0,0,0,0,128.5923771,35.2424957
한림대학교성심병원,1,상급종합,310000,경기,310702,안양동안구,,14068,"경기도 안양시 동안구 관평로170번길 22, (평촌동)",031-380-1500,,19981217,393,1,34,120,218,0,3,8,9,0,0,0,0,0,126.9620529,37.3917575
한양대학교병원,1,상급종합,110000,서울,110011,성동구,,4763,"서울특별시 성동구 왕십리로 222-1, (사근동)",02-2290-8114,,19720424,407,3,49,123,219,0,1,6,6,0,0,0,0,0,127.0441339,37.5596569
