암호화요양기호,요양기관명,종별코드,종별코드명,설립구분코드,설립구분코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원링크,개설일자,일반입원실상급병상수,일반입원실일반병상수,성인중환자병상수,소아중환자병상수,신생아중환자병상수,분만실병상수,수술실병상수,응급실병상수,물리치료실병상수,정신과폐쇄상급병상수,정신과폐쇄일반병상수,격리병실병상수,무균치료실병상수,Latitude,Longitude
JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,광주한국병원,11,종합병원,12,개인,240000,광주,240003,광주서구,,61967,"광주광역시 서구 월드컵4강로 223,  (쌍촌동)",062-380-3000,,19830418,2,260,0,0,0,0,4,16,28,0,0,1,0,35.1560803,126.8684485
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,서울적십자병원,11,종합병원,3,공립,110000,서울,110016,종로구,,3181,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",02-2002-8000,,19770401,5,269,12,0,0,2,6,11,10,0,0,6,0,37.5671402,126.9670566
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE4MzIjNTEjJDEjJDYjJDgz,서울특별시 동부병원,11,종합병원,3,공립,110000,서울,110007,동대문구,,2584,"서울특별시 동대문구 무학로 124, (용두동)",02-920-9307,,19790701,3,183,9,0,0,1,3,10,6,0,0,6,0,37.5753425,127.031536
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,서울특별시보라매병원,11,종합병원,3,공립,110000,서울,110008,동작구,,7061,"서울특별시 동작구 보라매로5길 20, (신대방동)",02-870-2114,,19911116,43,634,39,0,14,2,14,43,10,0,14,11,0,37.4937715,126.9242962
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz,강원특별자치도삼척의료원,11,종합병원,3,공립,320000,강원,320700,삼척시,,25920,"강원특별자치도 삼척시 오십천로 418-0, 삼척의료원",033-572-1141,,19830701,12,126,6,0,0,3,2,20,14,0,0,4,0,37.4403025,129.1636663
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNDEjJDEjJDQjJDgz,속초보광병원,11,종합병원,11,의료법인,320000,강원,320300,속초시,,24853,"강원특별자치도 속초시 중앙로 11-0, 속초보광병원",033-639-8500,,20100405,14,196,11,0,0,0,4,10,35,0,70,0,0,38.1979798,128.5783566
JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,영도병원,11,종합병원,12,개인,210000,부산,210007,부산영도구,,49036,"부산광역시 영도구 태종로 85, (대교동2가)",051-414-8101,,19960629,8,200,10,0,0,0,3,9,23,0,0,1,0,35.0916832,129.0410036
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjNDEjJDEjJDgjJDgz,의료법인인봉의료재단뉴고려병원,11,종합병원,11,의료법인,310000,경기,312300,김포시,,10086,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",031-998-8129,,20090413,7,260,25,0,0,0,6,20,20,0,0,13,0,37.6409053,126.6602394
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQ0NjE0ODEjODEjJDEjJDIjJDgz,인천적십자병원,11,종합병원,3,공립,220000,인천,220007,인천연수구,연수동,21935,"인천광역시 연수구 원인재로 263, (연수동)",032-899-4000,,19850510,0,112,8,0,0,0,3,10,5,0,0,2,0,37.4184536,126.6895849
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDYjJDgz,현대병원,11,종합병원,12,개인,310000,경기,311500,남양주시,,12013,"경기도 남양주시 진접읍 봉현로 21, ()",031-574-9118,,20090901,2,349,39,0,0,0,7,20,17,0,0,18,0,37.7155057,127.1797196
