시도,계,30분 미만,30분~2시간 미만,2~4시간 미만,4~6시간 미만
전체,"5,061,764","334,698","1,408,026","619,030","329,287"
서울,"990,391","71,814","258,533","115,802","61,938"
부산,"211,432","12,828","65,082","24,955","12,756"
대구,"174,313","9,639","44,398","20,363","11,311"
인천,"361,493","16,019","123,189","42,491","22,213"
광주,"122,758","7,017","33,708","14,832","8,316"
대전,"128,558","9,691","36,725","15,444","8,059"
울산,"69,801","6,087","17,629","7,607","4,216"
세종,"34,530","2,636","9,774","4,308","2,329"
경기,"1,314,572","91,788","361,485","165,563","86,396"
강원,"172,999","7,362","44,881","22,679","12,003"
충북,"146,524","9,584","49,450","18,321","9,237"
충남,"270,461","20,160","73,846","33,070","18,305"
전북,"234,929","15,051","61,663","27,806","14,910"
전남,"134,443","7,344","36,847","19,264","10,105"
경북,"273,046","17,601","73,294","33,533","18,486"
경남,"225,415","15,078","54,386","29,519","16,670"
제주,"119,267","8,316","38,138","14,326","7,485"
